,,STOPS MODEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC Collected Data (Flagler),,,,,,,,,,,,,,,
FID_1,ID,STATIONSEQ,STATION,STAT_CODE,STAT_GRP,GRP_NAME,DAILYBOARD,STOP_ID1,STOP_ID2,STOP_ID3,STOP_ID4,STOPSTYPE,NEWSTATION,Agency,FGSTP,STOPSTYPEB,PNR_PEN,DIFFGTFX,WALK_PEN,SAMEGTFX,STPID,KNR_PEN,BoardingBC,LAT,LONG,WPenBK,PpenBK,KpenBK,POINT_X,POINT_Y,FID_2,ROUTE,DAY,DIR,STOP,STOPNAME, DAY_ON , DAY_OFF , DAY_TOT , LAT_1 , LONG_1 , key , District , Distance , Difference ,bin,include.lowest
3360,15214,13314,NW 6 ST@N MIAMI AV,D6STNMV8,44,MI_CBD,18,6671     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6671,5,20,0,0,10,5,5,-80.19398,25.77998,1336,2,1,1,3,NW 6 ST N MIAMI AV, 4 , 1 , 4 , 26 , (80), 2-NW 6 ST N MIAMI AV , 19 , 0 , 14 ,0 to 20,TRUE
446,10017,8117,OVERTOWN STA@550 NW 1 AV,OVERTOWT,46,MI_FRG,43,24       M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,24,5,47,0,0,10,5,5,-80.19606,25.77994,1337,2,1,1,4,OVERTOWN STA 550 NW 1 AV, 31 , 3 , 34 , 26 , (80), 2-OVERTOWN STA 550 NW 1 AV , 19 , 0 , 9 ,0 to 20,TRUE
4105,14500,12600,NE 12 AV@NE 165 ST,A12V1651,45,MI_NE,179,5731     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5731,5,198,0,0,10,5,5,-80.17605,25.92698,1239,2,1,0,4,NE 12 AV NE 165 ST, 2 , 1 , 3 , 26 , (80), 2-NE 12 AV NE 165 ST , 10 , 0 , 176 ,100 to 500,TRUE
4651,18037,16137,NW 9 ST@NW 2 CT,D#9S##25,46,MI_FRG,1,10332    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10332,5,1,0,0,10,5,5,-80.1987,25.78262,1339,2,1,1,6,NW 2 AV NW 8 ST, 68 , 9 , 77 , 26 , (80), 2-NW 2 AV NW 8 ST , 19 , 0 , (76),-100 to -50,TRUE
3336,15471,13571,NW 2 AV@NW 10 ST,D2AV#102,46,MI_FRG,37,6951     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6951,5,41,0,0,10,5,5,-80.19802,25.78397,1340,2,1,1,7,NW 2 AV NW 10 ST, 42 , 18 , 61 , 26 , (80), 2-NW 2 AV NW 10 ST , 19 , 0 , (24),-50 to -20,TRUE
4170,17029,15129,NE 167 ST@NE 9 AV,A167##98,45,MI_NE,12,8683     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8683,5,13,0,0,10,5,5,-80.18235,25.92888,1242,2,1,0,7,NE 167 ST NE 9 AV, 2 , 2 , 4 , 26 , (80), 2-NE 167 ST NE 9 AV , 10 , 0 , 8 ,0 to 20,TRUE
3334,15433,13533,NW 1 PL@NW 13 ST,D1PL#131,46,MI_FRG,14,6908     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6908,5,15,0,0,10,5,5,-80.19785,25.78668,1342,2,1,1,9,NW 1 PL NW 13 ST, 6 , 12 , 18 , 26 , (80), 2-NW 1 PL NW 13 ST , 19 , 0 , (4),-20 to 0,TRUE
4172,17031,15131,NE 167 ST@NE 7 AV,A167##77,45,MI_NE,19,8685     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8685,5,21,0,0,10,5,5,-80.18616,25.9288,1244,2,1,0,9,NE 167 ST NE 7 AV, 2 , 2 , 3 , 26 , (80), 2-NE 167 ST NE 7 AV , 10 , 0 , 16 ,0 to 20,TRUE
4215,17033,15133,NE 167 ST@NE 4 AV,A167##48,45,MI_NE,34,8687     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8687,5,38,0,0,10,5,5,-80.19264,25.92853,1246,2,1,0,11,NE 167 ST NE 4 AV, 3 , 6 , 9 , 26 , (80), 2-NE 167 ST NE 4 AV , 10 , 0 , 25 ,20 to 50,TRUE
