"","ROUTE","apc","stops"
"1",2,5458.43286713371,4400
"2",3,10508.3149156452,11017
"3",6,467.152114551966,1864
"4",7,5464.18253968255,3435
"5",8,10023.2918621531,7935
"6",9,11643.1610916816,10765
"7",11,14358.2725330229,12960
"8",12,4697.9580170061,3067
"9",17,10413.5347689856,7153
"10",21,4466.60945900301,5385
"11",22,6717.69812409765,4460
"12",27,18290.5995004989,12722
"13",36,5392.35800588322,4468
"14",37,6596.68665585045,4712
"15",42,2622.38096952151,3965
"16",51,2829.78785136583,2981
"17",57,835.091627816651,1240
"18",71,2417.03750656923,2067
"19",73,4126.78378242544,3099
"20",77,15933.9938172938,10725
"21",87,3140.55054953119,4368
"22",93,2302.73290875766,2217
"23",95,1076.04280260539,5228
"24",103,4032.01305645714,5031
"25",119,20480.6659477089,15113
"26",120,5698.50464972988,7912
"27",137,4381.45363525491,2390
"28",195,1066.5824592088,544
"29",196,1087.5400058278,793
"30",207,1024.05555728666,974
"31",208,927.30317460328,1814
"32",212,76.58571428581,177
"33",238,428.2618126156,2579
"34",246,162.42460317458,8554
"35",277,1643.81215047411,4028
"36",500,120.15984848483,258
